start_lat,start_long,centre_code,centre_name,postal_code,Latitude,Longitude,distance,count
1.3487251157195,103.72724315066,ST0305,PCF Sparkletots Preschool @ Jurong Central Blk 490 (KN),640490,1.3495885100502,103.727240414439,0.09594527451348418,10
1.34896771891725,103.717106045626,ST0107,PCF SPARKLETOTS PRESCHOOL @ JURONG SPRING BLK 528 (DS),640528,1.34832160433383,103.716955768923,0.07371496212542437,10
1.34000936910231,103.693803650466,PT9701,Little Footprints Preschool Pte Ltd,640976,1.34000730508584,103.693804703262,0.0,14
1.35229053905005,103.715246438458,PT9055,JOY TALENT CHILDCARE CENTRE PTE. LTD.,640541,1.35104299843383,103.715983002516,0.16098122296301193,7
1.34908194843028,103.72619549188,PT8810,SWEETLANDS CHILDCARE JW 484 PTE. LTD.,640484,1.34820888556575,103.726357754906,0.09867969330152597,9
1.35323553027464,103.704442590627,ST0313,PCF Sparkletots Preschool @ Ayer Rajah-Gek Poh Blk 276D (KN),644276,1.35344766528144,103.704411153076,0.023830839379338723,4
1.3474463362194524,103.692827948315,PT2850,KANOOKA SCHOOL HOUSE PTE LTD,640852,1.34744674941805,103.692827949719,0.0,5
1.35431435182563,103.72239594359,PT9311,NASHWA CHILDCARE CENTRE PTE. LTD.,640406,1.35431435538399,103.722395940054,0.0,9
1.3455056492179098,103.69867315862076,PT8200,CARPE DIEM KIDSWORLD PTE. LTD.,640739,1.34594298573858,103.700120116691,0.16793486980057049,15
1.33911774809754,103.693671500024,PT8910,MINDCHAMPS PRESCHOOL @ JURONG WEST PTE. LTD.,648965,1.33841806489757,103.693768902249,0.07850174032025194,14
1.35327579127821,103.725111457509,NT0487,MY FIRST SKOOL,640409,1.35409792704061,103.725324736878,0.09438244642246227,9
1.3499193182199902,103.720692262748,NT0539,MY FIRST SKOOL,640459,1.35032904500392,103.720911817526,0.05165269044081909,14
1.343671775582105,103.698298346115,PT8539,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,640721,1.34399335727786,103.697595848966,0.0858361914658688,15
1.34460158675373,103.689712964527,RC1784,PPIS CHILD DEVELOPMENT CENTRE - JURONG WEST,640949,1.34332966235335,103.69167853351,0.2601165178008363,5
1.34342629491732,103.690924219836,RC1784,PPIS CHILD DEVELOPMENT CENTRE - JURONG WEST,640949,1.34332966235335,103.69167853351,0.08448536510072796,9
1.349587554038695,103.72724039000248,ST0305,PCF Sparkletots Preschool @ Jurong Central Blk 490 (KN),640490,1.3495885100502,103.727240414439,0.0,9
1.35015314493402,103.704293139292,PT6080,AGAPE CHILD CARE(JW) PTE. LTD.,644274,1.35219891849799,103.704379929183,0.22754119371336806,6
1.32872806963599,103.722388776147,PT9256,ACEKIDZ @ LAKEVISTA PTE. LTD.,610138,1.32792498586606,103.723339308373,0.1382590027065671,10
1.3379983062232,103.696320084561,ST0099,PCF SPARKLETOTS PRESCHOOL @ PIONEER BLK 987D (CC),644987,1.33659660947488,103.69537817893,0.18764872302875857,14
1.3538392154842749,103.721479701524,ST0087,PCF SPARKLETOTS PRESCHOOL @ JURONG CENTRAL BLK 403 (CC),640403,1.35383921849512,103.721479697852,0.0,10
