centre_code,centre_name,postal_code,Latitude,Longitude
YM0185,MY WORLD PRESCHOOL LTD.,550504,1.37387843222693,103.876307853422
YM0176,MY WORLD PRESCHOOL LTD,751362,1.44719485060317,103.814007986875
YM0171,MY WORLD PRESCHOOL LTD,321113,1.32100686964356,103.85982430866
YM0030,MY WORLD PRESCHOOL LTD.,530373,1.36268196108362,103.890391265295
PT5210,ACE @ WORK CHILDCARE PTE LTD,680703,1.3913176745554,103.745930761025
PT9676,NANYANG CHILDREN SCHOOL,102078,1.27363295987739,103.808335234515
ST0224,PCF Sparkletots Preschool @ Toa Payoh Central Blk 97 (KN),310097,1.33862553170269,103.847769289898
PT9816,Maplebear Kids Adventure Pte Ltd,419260,1.32296627847381,103.905836864653
ST0255,PCF Sparkletots Preschool @ Pasir Ris West Blk 738 (EY),510738,1.37918074333783,103.936553749218
PT8361,First Steps Preschool @ Depot Road,100108,1.28112226852104,103.810031310636
PT8512,Star Learners @ Woodlands 888 Pte Ltd,730888,1.43712301500434,103.795314383823
RC1878,St. Paul's Church Kindergarten,534682,1.3585780812249,103.881854275192
RC1877,St. James' Church Kindergarten,267828,1.3128648067924,103.796202004777
PT9335,STAR LEARNERS @ SENGKANG WEST PTE LTD,809442,1.38834135596893,103.865685120431
PT9521,LITTLE PADDINGTON PRESCHOOL EC PTE LTD,457184,1.31555148569585,103.927818272537
ST0015,PCF SPARKLETOTS PRESCHOOL @ EUNOS BLK 134 (CC),470134,1.33287858460019,103.912838489269
PT9078,CHILDFIRST@TAMPINES PTE. LTD.,529540,1.35266740578685,103.942959938343
PT9203,NOBLELAND ARTS N LEARNING PLACE @CLEMENTI PTE. LTD.,123311,1.32010579446331,103.765573473984
PT8633,BETWEEN TWO TREES PRESCHOOL,277375,1.31801879040484,103.787005962926
ST0033,PCF SPARKLETOTS PRESCHOOL @ QUEENSTOWN BLK 365 (CC),149732,1.29915024159231,103.801305105971
PW0100,PCS ANG MO KIO CHILD CARE CENTRE,560442,1.36565326940253,103.855232195496
PT9200,PICKET FENCE @ YISHUN PTE. LTD.,768090,1.43678096741344,103.843618912685
PT9664,IMAN KINDERGARTEN (YISHUN) PTE LTD,760934,1.42573131281394,103.836595822572
EB0003,E-BRIDGE PRE-SCHOOL PTE. LTD.,541178,1.3889732362803,103.909651594176
PT8572,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,347931,1.32943551112394,103.870868278527
ST0133,PCF Sparkletots Preschool @ Nee Soon South Blk 879 (EY),760879,1.41444167860568,103.83611779226
YW0010,YWCA ANG MO KIO CHILD DEVELOPMENT CENTRE,560513,1.37273696913231,103.850194854525
PT9739,Thinkkidz,569139,1.38654032722797,103.844716408408
RC1782,SUPER TALENT CHILDCARE LTD,560218,1.36511908595886,103.841742478489
PT9408,SUNFLOWER PRESCHOOL @ TECK GHEE PTE LTD,562455,1.36833017912554,103.858495667837
PT9415,SUNFLOWER PRESCHOOL @ AMK PTE. LTD.,569897,1.37300750160253,103.837612421294
PT8611,SUNFLOWER KINDERHUB @ AMK PTE LTD,568659,1.37268757817195,103.838233492061
PT9157,STAR LEARNERS @ YIO CHU KANG PTE. LTD.,560645,1.37927553533411,103.842235624758
