centre_code,centre_name,postal_code,Latitude,Longitude
NT0508,MY FIRST SKOOL,560209,1.369,103.8433
PT9043,MINDCHAMPS PRESCHOOL @ YIO CHU KANG PTE. LTD.,569771,1.3816,103.8469
RC1900,Little Seeds Preschool,560610,1.3794,103.8392
PT9754,LITTLE MOPPETS @ NORTHSTAR PTE. LTD.,569880,1.3778,103.8754
PT8240,LITTLE GENIUS EDUCARE CENTRE,560470,1.3641,103.8567
PT9235,LITTLE GEMS PRESCHOOL PTE LTD,569139,1.3865,103.8447
PT9073,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,569880,1.3778,103.8754
PT8778,LITTLE CHAMPS SCHOOLHOUSE (MONTESSORI) PTE. LTD.,560447,1.3675,103.8559
WP0610,LEARNING VISION @ WORK PTE. LTD.,569059,1.3894,103.8493
WP0330,LEARNING VISION @ WORK PTE .LTD.,569830,1.3794,103.8489
PT8781,LEARNING KIDZ EDUCENTRE PTE. LTD.,569814,1.3718,103.8478
WP0060,KIDS' STAR CHILD DEVELOPMENT CENTRE (S) PTE LTD,560565,1.3695,103.8583
PT2130,KIDS AND KINS CHILD CARE CENTRE,568179,1.3697,103.8323
PT9497,JUST KIDS @ ANG MO KIO PTE LTD,569841,1.3719,103.8459
RC0830,JAMIYAH CHILD CARE CENTRE,560124,1.3709,103.8448
PT9068,ESHKOL VALLEY @ NORTHSTAR PTE. LTD.,569880,1.3778,103.8754
PT9034,DISCOVERY PLANET LIMITED PARTNERSHIP,569880,1.3778,103.8754
PT7140,CM CENTRAL PTE LTD,560161,1.3742,103.8396
RC1250,CHILD AT STREET 11 LTD,560102,1.3707,103.8394
PT8911,CARPE DIEM @ ITE PTE. LTD.,567720,1.3777,103.8564
PT9414,BUBBLES MONTESSORI PRESCHOOL,560340,1.3645,103.8495
PT9001,BRIGHTON MONTESSORI CENTRES PTE. LTD.,568046,1.3807,103.8466
PT9484,Baby Elk Infant Care Pte Ltd,569139,1.3865,103.8447
RC1550,MORAL CHILD DEVELOPMENT CENTRE (CHEE HOON KOG),460542,1.3307,103.9228
PT3740,SAINT ELMO'S CHILD CARE,530926,1.3761,103.8809
RC0570,TOUCH Community Services Limited,530606,1.3707,103.8859
PT9535,SUNFLOWER PRESCHOOL @ HOUGANG CC (PRIVATE LIMITED),538840,1.3648,103.8927
PT9041,SUNFLOWER PRESCHOOL @ HOUGANG (PTE. LTD.),538766,1.3725,103.8938
PT9324,STAR LEARNERS @ HOUGANG PTE LTD,535736,1.3712,103.8983
PT9375,STAR LEARNERS @ HOUGANG CENTRAL PTE LTD,530434,1.3765,103.8938
SK0021,SKOOL4KIDZ CENTRE,532992,1.3838,103.8817
PT9766,Silk Education Pte. Ltd.,530246,1.3588,103.8915
PT9089,SDM Childcare Centre (Bartley) Pte Ltd,534908,1.3430000000000002,103.8822
PT8972,LITTLE GREENHOUSE @ HOUGANG PTE LTD,538875,1.3589,103.8894
PW0060,PCS HOUGANG CENTRE,530127,1.3529,103.8857
PT8820,PAT'S SCHOOLHOUSE PTE. LTD.,539830,1.3546,103.8828
PT9151,PAT'S SCHOOLHOUSE PTE. LTD.,534625,1.3544,103.878
PT9172,OUR CHILDREN'S HOUSE PTE LTD,536186,1.3466,103.8828
NT0582,MY FIRST SKOOL,530997,1.3854,103.8808
NT0330,MY FIRST SKOOL,530950,1.3755,103.8787
NT0573,MY FIRST SKOOL,530706,1.366,103.8886
NT0490,MY FIRST SKOOL,530677,1.3712,103.8843
NT0290,MY FIRST SKOOL,530667,1.3738,103.8838
NT0492,MY FIRST SKOOL,530528,1.3751,103.8906
NT0460,MY FIRST SKOOL,530170,1.3515,103.8893
PT9448,MAPLEBEAR LEARNING HOUSE PTE LTD,537416,1.3568,103.8862
PT9796,Living Sanctuary Childcare,538728,1.356,103.8914
PT6770,LITTLE TREE HOUSE LLP,537731,1.3691,103.8924
PT9077,LITTLE TREE HOUSE @ HOUGANG PTE. LTD.,537727,1.3693,103.8926
PT1330,KINDERLAND PRESCHOOL,530202,1.3576,103.884
RC1751,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE,533986,1.3826,103.8805
RC1719,KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE,533979,1.3795,103.88
PT8428,KIDSKINGDOM PTE. LTD.,530154,1.3522,103.8802
PT6020,JUNIOR PLAYWORLD CHILD CARE & DEVELOPMENT CENTRE,537822,1.3713,103.8974
PT8662,JUNIOR CHAMPS EDUCAMPUS PTE. LTD.,538719,1.3793,103.8878
PT9363,JUNIOR CHAMPS EDUCAMPUS PTE LTD,539775,1.3364,103.8888
PT8457,JUNIOR CHAMPS @ KOVAN PTE. LTD.,530205,1.3595,103.8852
RC1746,IYAD PERDAUS CHILD DEVELOPMENT,530565,1.3805,103.888
PT9377,EMILE PRESCHOOL PTE. LTD.,536202,1.3423,103.8858
PT6510,ELFA PRESCHOOL,530202,1.3576,103.884
EB0011,E-BRIDGE PRE-SCHOOL PTE LTD,532365,1.3692,103.8975
PT8420,CHERIE HEARTS LITTLE PLAY HOUSE PTE LTD,534013,1.3343,103.8896
PT7120,CHERIE HEARTS @ CHARLTON PTE LTD,539643,1.3565,103.8816
RC0790,CHEE HWAN KOG CHILDCARE CENTRE,530695,1.3763,103.8874
PT8509,CARPE DIEM MI SCHOOLHOUSE PTE. LTD.,530954,1.3768,103.8781
PT8640,CARPE DIEM MI PRESCHOOL PTE. LTD.,530946,1.3747,103.8812
PT9532,CAMBRIDGE@KINGSFORD WATERBAY PTE LTD,533893,1.3745,103.9031
PT9753,Brilliant Tots @ Kensington,537846,1.3456,103.8827
PT3190,BLOSSOM EDUCARE CENTRE LLP,536668,1.3707,103.8975
RC1757,BETHEL PRESCHOOL,534514,1.3443,103.8711
RC1020,BETHANY PRESBYTERIAN CHILD DEVELOPMENT CENTRE,534965,1.3483,103.8808
PT9360,AMERICA MONTESSORI INTERNATIONAL PRESCHOOL PTE. LTD.,538202,1.3598,103.8899
PT9392,AGAPE LITTLE UNI. @ UPPER SERANGOON PTE LTD,538473,1.3767,103.902
PT8369,ACEKIDZ CREATIVE EDUCARE,530924,1.3763,103.8821
PT9654,My Montessori Preschool @Bullion,789100,1.3916,103.8367
PT9692,Little Skittles International Preschool,438052,1.2985,103.8891
PT9700,Grace House Kindergarten,659125,1.3648,103.7475
PT9714,Grace House @ TRBK,307584,1.315,103.8445
PT9713,Grace House @ Tanglin Pte Ltd,247960,1.2944,103.8164
PT9585,Cedan Kindergarten,820198,1.3995,103.9064
PT9691,Aces Montessori Kidz Kindergarten,519457,1.3685,103.9594
PT8643,PICKET FENCE @ CANBERRA PTE. LTD.,758419,1.4384,103.8259
PT9515,WHITE LODGE PRESCHOOL RIVER VALLEY PTE LTD,238308,1.2946,103.8421
PT9303,KIDDIWINKIE SCHOOLHOUSE @ GRANDSTAND PTE. LTD.,358187,1.3453,103.8707
PT8959,ACEKIDZ @ WORK PTE. LTD.,683688,1.4032,103.751
PT9430,CHERRY KIDZ MONTESSORI CHILDCARE LLP,758385,1.4273,103.8263
PT9589,White Lodge Kindergarten Phoenix Park Pte Ltd,247975,1.2986,103.8147
ST0128,PCF SPARKLETOTS PRESCHOOL @ SENGKANG CENTRAL BLK 210 (CC),540210,1.3853,103.9
YM0184,MY WORLD PRESCHOOL LTD,342106,1.3336,103.8712
PT9802,Pat's Schoolhouse Pte Ltd,118257,1.289,103.7905
PT9332,THE GARDEN HOUSE PRESCHOOL PTE. LTD.,588406,1.3465,103.7809
PT9815,Little Petals @ Symphony Pte Ltd,768008,1.4349,103.8446
PT8811,JUST KIDS @ CHOA CHU KANG PTE. LTD.,680253,1.3773,103.7444
SK0011,SKOOL4KIDZ CENTRE,760512,1.4148,103.8413
WP0630,KINDERLAND PRESCHOOL,69111,1.2793,103.8466
