BLK_NO,ROAD_NAME,POSTAL,LATITUDE,LONGITUDE
588C,ANG MO KIO STREET 52,563588,1.37183157,103.853671
106,LENGKONG TIGA,410106,1.325088459,103.9100088
212B,COMPASSVALE DRIVE,542212,1.386185145,103.9005512
112,YISHUN RING ROAD,760112,1.434168645,103.829055
585,WOODLANDS DRIVE 16,730585,1.429205974,103.7954083
585,WOODLANDS DRIVE 16,730585,1.429415599,103.7953999
669,HOUGANG AVENUE 8,530669,1.373370225,103.8840994
420,FAJAR ROAD,670420,1.384650007,103.7695173
350,UBI AVENUE 1,400350,1.325804085,103.9012924
122B,SENGKANG EAST WAY,542122,1.387164898,103.9065344
703,WOODLANDS DRIVE 40,730703,1.440956563,103.7965766
256,BISHAN STREET 22,570256,1.361318448,103.8426838
256,BISHAN STREET 22,570256,1.361318449,103.8426838
504,BEDOK NORTH STREET 3,460504,1.331880003,103.9323894
626,CHOA CHU KANG STREET 62,680626,1.398320829,103.7458781
626,CHOA CHU KANG STREET 62,680626,1.398320205,103.7458801
547,ANG MO KIO AVENUE 10,560547,1.374209517,103.8582097
195E,PUNGGOL ROAD,825195,1.401717992,103.9071773
319,UBI AVENUE 1,400319,1.328273258,103.9035943
288,CHOA CHU KANG AVENUE 3,680288,1.378938615,103.7410231
288,CHOA CHU KANG AVENUE 3,680288,1.378938896,103.7410271
277B,COMPASSVALE LINK,542277,1.382336659,103.8945108
277B,COMPASSVALE LINK,542277,1.382336657,103.8945108
881,TAMPINES STREET 84,520881,1.352311805,103.9327843
133,SIMEI STREET 1,520133,1.347313666,103.9556785
89,TANGLIN HALT ROAD,141089,1.301200354,103.7989219
310,SHUNFU ROAD,570310,1.350851679,103.8386791
296D,CHOA CHU KANG AVENUE 2,684296,1.376623081,103.7430682
296C,CHOA CHU KANG AVENUE 2,683296,1.37658461,103.7422972
296,CHOA CHU KANG AVENUE 2,680296,1.37738338,103.7407814
296E,CHOA CHU KANG AVENUE 2,685296,1.37691702,103.7430471
296A,CHOA CHU KANG AVENUE 2,681296,1.377141549,103.7409433
296B,CHOA CHU KANG AVENUE 2,682296,1.376847726,103.741509
296,CHOA CHU KANG AVENUE 2,680296,1.377415555,103.7407815
857,WOODLANDS STREET 83,730857,1.440261709,103.7940135
496D,TAMPINES AVENUE 9,520496,1.361498194,103.9501211
496D,TAMPINES AVENUE 9,520496,1.361626114,103.9499918
556,ANG MO KIO AVENUE 10,560556,1.372032363,103.8576254
556,ANG MO KIO AVENUE 10,560556,1.372032358,103.8576254
395,TAMPINES AVENUE 7,520395,1.355863792,103.9560491
50A,DORSET ROAD,211050,1.312724567,103.8503761
50,DORSET ROAD,210050,1.313154788,103.8509083
50,DORSET ROAD,NIL,1.313130993,103.8508679
50,DORSET ROAD,210050,1.313130993,103.8508679
180B,MARSILING ROAD,732180,1.439056598,103.7783498
43,LENGKOK BAHRU,150043,1.286955402,103.8110008
269C,PUNGGOL FIELD,823269,1.403652033,103.8985316
711,HOUGANG AVENUE 2,530711,1.366338632,103.8877752
213,BISHAN STREET 23,570213,1.357178221,103.848153
213,BISHAN STREET 23,NIL,1.35717823,103.848153
213,BISHAN STREET 23,570213,1.357178239,103.8481529
132,YISHUN STREET 11,760132,1.432778464,103.831224
826,YISHUN STREET 81,760826,1.414174103,103.8324542
246,JURONG EAST STREET 24,600246,1.341776588,103.7400573
128,POTONG PASIR AVENUE 1,350128,1.334803977,103.8657878
180B,RIVERVALE CRESCENT,542180,1.389947187,103.9094499
542,ANG MO KIO AVENUE 10,560542,1.374738413,103.8558768
417,BUKIT BATOK WEST AVENUE 4,650417,1.362890991,103.7465392
417,BUKIT BATOK WEST AVENUE 4,650417,1.362902933,103.7464834
415,SERANGOON CENTRAL,550415,1.349796527,103.8744996
270A,SENGKANG CENTRAL,541270,1.385751978,103.894255
214,BEDOK NORTH STREET 1,460214,1.325875651,103.932493
127,SIMEI STREET 1,520127,1.346584244,103.9543164
235,CHOA CHU KANG CENTRAL,680235,1.379756644,103.7487492
235,CHOA CHU KANG CENTRAL,680235,1.379782277,103.7487596
788C,WOODLANDS CRESCENT,733788,1.443871798,103.8018334
22C,HAVELOCK ROAD,164022,1.288784824,103.8282685
22,HAVELOCK ROAD,160022,1.288746037,103.8288242
22,HAVELOCK ROAD,160022,1.288596672,103.8291763
22B,HAVELOCK ROAD,162022,1.287747355,103.8295314
22A,HAVELOCK ROAD,161022,1.287931452,103.8296348
474,TAMPINES STREET 43,520474,1.359872992,103.9527876
14,BEDOK SOUTH AVENUE 2,460014,1.321361191,103.9361854
265,BOON LAY DRIVE,640265,1.34567943,103.7065993
303,ANG MO KIO AVENUE 1,560303,1.366649205,103.8452546
479,PASIR RIS DRIVE 4,510479,1.375177147,103.9592072
5,UPPER ALJUNIED LANE,360005,1.33372866,103.8798985
110,CLEMENTI STREET 13,120110,1.322845078,103.7708988
104,JURONG EAST STREET 13,600104,1.336584653,103.7376233
347,WOODLANDS AVENUE 3,730347,1.433191403,103.7815949
347,WOODLANDS AVENUE 3,730347,1.433178321,103.7815949
892,TAMPINES AVENUE 8,520892,1.349012829,103.9292428
335,UBI AVENUE 1,400335,1.326041655,103.9028293
10,EUNOS CRESCENT,400010,1.322286559,103.9027205
260,TAMPINES STREET 21,520260,1.35464006,103.9501008
391,TAMPINES AVENUE 7,520391,1.355631541,103.9579533
107,PASIR RIS STREET 12,510107,1.367509667,103.9575189
151,SIMEI STREET 1,520151,1.345754827,103.9572689
441,JURONG WEST AVENUE 1,640441,1.351327315,103.7203831
9,REDHILL CLOSE,151009,1.28494012,103.81641
375,HOUGANG STREET 31,530375,1.363158279,103.8895552
82,MACPHERSON LANE,360082,1.332283325,103.8856201
927,HOUGANG STREET 91,530927,1.376622658,103.8807505
927,HOUGANG STREET 91,530927,1.376623353,103.8807961
927,HOUGANG STREET 91,530927,1.376622657,103.8807505
310C,PUNGGOL WALK,823310,1.409710961,103.8998984
285B,TOH GUAN ROAD,602285,1.338423949,103.7468549
355,TAMPINES STREET 33,520355,1.355050591,103.9616
355,TAMPINES STREET 33,520355,1.355050584,103.9616
390,YISHUN AVENUE 6,760390,1.429212793,103.8484039
122,GEYLANG EAST CENTRAL,380122,1.317679503,103.8849715
122,GEYLANG EAST CENTRAL,380122,1.317679508,103.8849716
410,TAMPINES STREET 41,520410,1.358782883,103.9460781
130,BUKIT MERAH VIEW,150130,1.284587128,103.8243603
517,CHOA CHU KANG STREET 51,680517,1.391072228,103.7428974
517,CHOA CHU KANG STREET 51,680517,1.391069887,103.7428957
18,TECK WHYE LANE,680018,1.378297688,103.7540714
570B,WOODLANDS AVENUE 1,732570,1.431063955,103.7904541
570B,WOODLANDS AVENUE 1,732570,1.431063955,103.7904541
570B,WOODLANDS AVENUE 1,732570,1.431063955,103.7904541
296,YISHUN STREET 20,760296,1.435392246,103.835501
210,BUKIT BATOK STREET 21,650210,1.345480082,103.7499561
651,YISHUN AVENUE 4,760651,1.423365101,103.8391035
520,JELAPANG ROAD,670520,1.386467579,103.7665076
405B,FERNVALE LANE,792405,1.389002004,103.8736702
405B,FERNVALE LANE,792405,1.388997576,103.8736702
612,ELIAS ROAD,510612,1.374629851,103.942021
612,ELIAS ROAD,510612,1.374627225,103.9420235
109A,DEPOT ROAD,101109,1.280957713,103.8094402
206D,COMPASSVALE LANE,544206,1.386967719,103.8972601
411B,FERNVALE ROAD,792411,1.390162618,103.8770562
786D,WOODLANDS DRIVE 60,734786,1.446419125,103.8010275
104,BEDOK RESERVOIR ROAD,470104,1.329245367,103.9099237
