school_name,postal_code,Latitude,Longitude
REGENT SECONDARY SCHOOL,689621,1.39327908335682,103.751034411529
RIVER VALLEY HIGH SCHOOL,649961,1.34459584223718,103.708190688947
RIVER VALLEY PRIMARY SCHOOL,237993,1.29418347842837,103.836018941571
RIVERSIDE PRIMARY SCHOOL,737803,1.44700426493785,103.801889031334
RIVERSIDE SECONDARY SCHOOL,738524,1.44110157139127,103.78830823641
RIVERVALE PRIMARY SCHOOL,545092,1.39333506298213,103.904545253288
ROSYTH SCHOOL,555855,1.3728583654058,103.87477170399
RULANG PRIMARY SCHOOL,649295,1.34673868889096,103.718457955487
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",138572,1.31292810600277,103.774011529322
"SCHOOL OF THE ARTS, SINGAPORE",227968,1.29936480411316,103.848687419363
SEMBAWANG PRIMARY SCHOOL,757715,1.4457453096024,103.821152676215
SEMBAWANG SECONDARY SCHOOL,757704,1.44531502131387,103.816843258118
SENG KANG PRIMARY SCHOOL,545166,1.38925044778224,103.899527879229
SENG KANG SECONDARY SCHOOL,545090,1.38659683143747,103.898365036709
SENGKANG GREEN PRIMARY SCHOOL,797636,1.3925400930811,103.874984869551
SERANGOON GARDEN SECONDARY SCHOOL,555889,1.36932570490947,103.869270301476
SERANGOON SECONDARY SCHOOL,534237,1.37465538827443,103.902138740699
SHUQUN PRIMARY SCHOOL,649332,1.34686967259067,103.721559387203
SI LING PRIMARY SCHOOL,739067,1.43240935732525,103.786035065192
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,309437,1.3206340835184,103.828164966953
SINGAPORE CHINESE GIRLS' SCHOOL,309437,1.3206340835184,103.828164966953
SINGAPORE SPORTS SCHOOL,737913,1.42641140556342,103.789444793951
SOUTH VIEW PRIMARY SCHOOL,689762,1.38143123987698,103.747153671
SPECTRA SECONDARY SCHOOL,737758,1.43703750789961,103.804100467487
SPRINGDALE PRIMARY SCHOOL,544799,1.39528544463377,103.889416413501
SPRINGFIELD SECONDARY SCHOOL,529593,1.34957303471476,103.930354460693
ST. ANDREW'S JUNIOR COLLEGE,357691,1.33306515740956,103.863576377056
ST. ANDREW'S JUNIOR SCHOOL,359337,1.33140255308868,103.865117134385
ST. ANDREW'S SECONDARY SCHOOL,359342,1.33069360968075,103.866249138562
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,469701,1.3347253730189,103.941234868202
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,469700,1.33466313498855,103.941977166932
ST. ANTHONY'S PRIMARY SCHOOL,659401,1.36411948475833,103.749251919049
ST. GABRIEL'S PRIMARY SCHOOL,556742,1.34930766795555,103.862309899986
ST. GABRIEL'S SECONDARY SCHOOL,556140,1.34648798732177,103.876094163287
ST. HILDA'S PRIMARY SCHOOL,529706,1.34967978969837,103.937016363397
ST. HILDA'S SECONDARY SCHOOL,528986,1.34973922385379,103.937608032148
ST. JOSEPH'S INSTITUTION,308274,1.32365313490152,103.828498974985
ST. JOSEPH'S INSTITUTION JUNIOR,309331,1.31781476118551,103.845633334522
ST. MARGARET'S PRIMARY SCHOOL,387724,1.32439150290682,103.881624837373
ST. MARGARET'S SECONDARY SCHOOL,259240,1.31977464050584,103.809602215402
ST. PATRICK'S SCHOOL,429058,1.30788341871801,103.917638193713
ST. STEPHEN'S SCHOOL,455789,1.31878997295135,103.917258129598
STAMFORD PRIMARY SCHOOL,198423,1.30385959862559,103.856955133139
SWISS COTTAGE SECONDARY SCHOOL,659322,1.36471742697475,103.750396136688
TAMPINES MERIDIAN JUNIOR COLLEGE,518799,1.37633346909682,103.936990723441
TAMPINES NORTH PRIMARY SCHOOL,529565,1.36048786025607,103.948768900518
TAMPINES PRIMARY SCHOOL,529426,1.34994333795888,103.943402379754
TAMPINES SECONDARY SCHOOL,529427,1.34926094811197,103.944263709507
TANGLIN SECONDARY SCHOOL,127391,1.30970169234123,103.758158358303
TANJONG KATONG GIRLS' SCHOOL,439272,1.3075626184394,103.896107204542
TANJONG KATONG PRIMARY SCHOOL,437259,1.30498489044822,103.899999965407
TANJONG KATONG SECONDARY SCHOOL,438796,1.30873515955341,103.897225196199
TAO NAN SCHOOL,449761,1.30528528687321,103.911553152326
TECK GHEE PRIMARY SCHOOL,569299,1.36565018546903,103.851009800453
TECK WHYE PRIMARY SCHOOL,688261,1.38388660469396,103.753924558586
TECK WHYE SECONDARY SCHOOL,688848,1.38333422637073,103.75510327583
TELOK KURAU PRIMARY SCHOOL,479239,1.33109611001931,103.911005345855
TEMASEK JUNIOR COLLEGE,469278,1.31849283027837,103.935567309385
TEMASEK PRIMARY SCHOOL,469300,1.31720341663064,103.94575943784
TEMASEK SECONDARY SCHOOL,465561,1.31591673150616,103.947564112022
TOWNSVILLE PRIMARY SCHOOL,569730,1.35994649477568,103.853768994775
UNITY PRIMARY SCHOOL,688268,1.40278303219036,103.746801233973
UNITY SECONDARY SCHOOL,689143,1.40001524119441,103.74602091483
VALOUR PRIMARY SCHOOL,828728,1.40744168163777,103.898762173662
VICTORIA JUNIOR COLLEGE,449035,1.30670174177479,103.919982704149
VICTORIA SCHOOL,448880,1.3087130270751,103.927980966639
WATERWAY PRIMARY SCHOOL,828802,1.39972633289763,103.918346464803
WELLINGTON PRIMARY SCHOOL,757702,1.45168517614776,103.822516208087
WEST GROVE PRIMARY SCHOOL,649223,1.34471211768915,103.698964212988
WEST SPRING PRIMARY SCHOOL,679946,1.38917971808454,103.76639772288
WEST SPRING SECONDARY SCHOOL,677737,1.38782283303782,103.760128840155
WEST VIEW PRIMARY SCHOOL,677742,1.38408830917172,103.760174573574
WESTWOOD PRIMARY SCHOOL,649188,1.3477109654722,103.700467520791
WESTWOOD SECONDARY SCHOOL,648350,1.35373698510994,103.701772102139
WHITE SANDS PRIMARY SCHOOL,519075,1.36563610941695,103.960861814678
WHITLEY SECONDARY SCHOOL,579747,1.35505208480649,103.842552378136
WOODGROVE PRIMARY SCHOOL,738079,1.43273620725049,103.79023031392
WOODGROVE SECONDARY SCHOOL,738990,1.42831828137013,103.79604758539
WOODLANDS PRIMARY SCHOOL,738853,1.43658270720199,103.791791282236
WOODLANDS RING PRIMARY SCHOOL,738240,1.43485179380236,103.79741434351
WOODLANDS RING SECONDARY SCHOOL,738239,1.43648894729939,103.800148469692
WOODLANDS SECONDARY SCHOOL,739111,1.43912528141356,103.774586410437
XINGHUA PRIMARY SCHOOL,538882,1.35799653782463,103.890216355459
XINGNAN PRIMARY SCHOOL,649036,1.34270639669225,103.687588478681
XINMIN PRIMARY SCHOOL,538784,1.37176798317468,103.88280991785
XINMIN SECONDARY SCHOOL,538789,1.37255884700002,103.88305161385
XISHAN PRIMARY SCHOOL,768611,1.43347186925064,103.837755319448
YANGZHENG PRIMARY SCHOOL,556108,1.3489768083841,103.868467129954
YEW TEE PRIMARY SCHOOL,689100,1.39672603497195,103.751817992962
YIO CHU KANG PRIMARY SCHOOL,538720,1.37793264345276,103.885643682171
YIO CHU KANG SECONDARY SCHOOL,569868,1.37797597740925,103.84213696352
YISHUN INNOVA JUNIOR COLLEGE,768675,1.42426692572335,103.83003171149
YISHUN PRIMARY SCHOOL,768679,1.43397617334964,103.834050796658
YISHUN SECONDARY SCHOOL,768516,1.42813324276086,103.828764316679
